,crp,hns,fnr,fis,rcsB,arcA,fur,cra,phoB,soxS,gadE,rcsA,fliZ,gadX,leuO,lrp,marA,ompR,evgA,bglJ,ydeO,gadW,oxyR,soxR,hdfR,stpA,yjjQ,mlrA,marR,ptsG,rhaR,galR,fhlA,mlc,rhaS,srlR,xylR,mazE,uxuR,galS,gutM,exuR,mazF,adiY,cspA,flhD,flhC,dcuR
0-0,0.5,0.0,0.0344827586206897,0.0,0.0,0.0169491525423729,0.0,0.5,0.0,0.0,0.780487804878049,0.0,0.0,0.705882352941177,0.470588235294118,0.0,0.0,0.0,0.705882352941177,0.470588235294118,0.705882352941177,0.310679611650485,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0-1,0.85,0.0,0.939267886855241,0.0,0.0,0.718801996672213,0.0,0.0,0.991610738255034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.498205088184798,0.0,0.0,0.0,0.0,0.0,0.0,0.470588235294118,0.498205088184798,0.0,0.0126702565726956,0.0,0.0,0.0,0.0,0.0,0.479201331114809
0-2,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0-3,0.953125,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.481203007518797,0.0,0.0,0.481203007518797,0.0,0.0,0.4912,0.0,0.0,0.0
0-4,0.416666666666667,0.611111111111111,0.80064308681672,0.733333333333333,0.0,0.0,0.977777777777778,0.166666666666667,0.986111111111111,0.746166950596252,0.0,0.0,0.22473604826546,0.0,0.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266666666666667,0.771929824561403,0.331619537275064,0.0,0.50390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0992430613961312,0.121900826446281,0.0
0-5,0.989583333333333,0.916666666666667,0.0,0.916666666666667,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.666666666666667,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666666666667,0.666666666666667,0.0
0-6,0.75,0.857142857142857,0.75,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.453900709219858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.453900709219858,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
0-7,0.9375,1.0,0.499013806706114,0.0,0.0,0.504892367906067,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
0-8,0.979166666666667,0.0,0.296140853720954,0.0,0.333333333333333,0.00624199743918054,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.372093023255814,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.372093023255814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0-9,0.944444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.818181818181818,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272727272727273,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2-0,0.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2-1,0.0,0.0,0.537537014457412,0.0,0.25,0.835396664982314,0.0,0.5,0.5,0.0,0.0,0.5,0.705537852036862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.374679839004757,0.0,0.0,0.0,0.374679839004757,0.0,0.342134213421342,0.0,0.0,0.0,0.0,0.27355901189387,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2-2,0.0,0.0,0.0384615384615385,0.0,0.0,0.709183673469388,0.085972850678733,0.5,0.5,0.315881326352531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.504132231404959,0.0,0.0,0.419213973799127,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.419213973799127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2-3,0.96875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.502946954813359,0.0,0.0,0.0,0.0,0.444444444444444,0.0,0.0,0.0714884110583636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2-4,0.0,0.979591836734694,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.997920997920998,0.32,0.0,0.0,0.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64128256513026,0.64,0.0
0.2-5,0.984375,0.9375,0.0,0.9375,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.12890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2-6,0.0,0.978789258079199,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.417459239130435,0.307692307692308,0.0,0.858820240424937,0.0757575757575758,0.0,0.0,0.0,0.608695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2-7,0.9375,0.378752886836028,0.589147286821705,0.0,0.0,0.105882352941176,0.0,0.5,0.5,0.0,0.0,0.0,0.372712146422629,0.86865234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136258660508083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.814098134070491,0.0,0.0,0.0
0.2-8,0.9375,0.0,0.49843912591051,0.0,0.0,0.443235893949694,0.0,0.5,0.928571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.406026962727994,0.40251572327044,0.0,0.0,0.0690399137001079,0.406026962727994,0.0,0.0,0.0,0.0,0.0
0.2-9,0.5,0.0,0.75,0.0,0.0,0.0,0.0,0.5,0.984848484848485,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.470588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.470588235294118
0.4-0,0.0,0.0,0.502415458937198,0.0,0.0,0.0630630630630631,0.0,0.75,0.989583333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444444444444444,0.408510638297872,0.0,0.0,0.0,0.0,0.0384615384615385,0.0,0.0,0.359550561797753,0.0,0.0,0.0,0.0,0.352739726027397,0.0,0.0,0.0
0.4-1,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.501960784313725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.470588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.470588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
0.4-2,0.791666666666667,0.804968944099379,0.767253044654939,0.0,0.555555555555556,0.0526315789473684,0.757009345794392,0.5,0.0,0.126315789473684,0.833333333333333,0.0,0.0,0.99875,1.0,0.833333333333333,0.0,0.0333333333333333,0.25,0.958083832335329,0.25,0.333333333333333,0.0,0.732673267326733,0.0,0.833333333333333,0.0,0.0,0.0,0.0,0.0,0.424778761061947,0.0,0.0,0.0,0.0,0.0,0.0,0.423280423280423,0.424778761061947,0.0,0.423280423280423,0.0,0.666666666666667,0.0,0.0,0.0,0.0
0.4-3,0.996744791666667,0.925297113752122,0.397553516819572,0.785807291666667,0.308739255014327,0.326025277276245,0.0,0.5,0.5,0.0,0.764235641372525,0.839120188531029,0.149271137026239,0.999871547848426,0.779944289693593,0.0,0.0,0.0,0.0,0.997175141242938,0.0122272385252069,0.321126302083333,0.0,0.0,0.0415472779369628,0.0,0.0,0.0,0.0,0.0,0.0,0.412681354110693,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.412681354110693,0.0,0.0,0.0,1.0,0.999891493055556,0.122429459588714,0.0,0.0
0.4-4,0.5,0.875,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4-5,0.75,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4-6,0.5,0.833333333333333,0.0964912280701754,0.0,0.0,0.0846153846153846,0.0,0.0,0.5,0.0,0.666666666666667,0.5,0.333333333333333,0.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.362264150943396,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.362264150943396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4-7,0.8125,0.875,0.0,0.25,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.333333333333333,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
0.4-8,0.930555555555556,0.861111111111111,0.0,0.861111111111111,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4-9,0.9375,0.876712328767123,0.496,0.5,0.0,0.015625,0.838709677419355,0.0,0.5,0.282485875706215,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.380487804878049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
0.6-0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6-1,0.976283048211509,0.896899224806202,0.375451263537906,0.899032882011605,0.0,0.0967741935483871,0.303557617942769,0.990625,0.5,0.833333333333333,0.0,0.0,0.895061728395062,0.0,0.697530864197531,0.0,0.0,0.0,0.0,0.395061728395062,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.365276211950395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.365276211950395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6-2,0.888125,0.9,0.515563778841968,0.0,0.0,0.514332247557003,0.186015625,0.5,0.0,0.0,0.8479077925332,0.0,0.5,0.9,0.5,0.0,0.0,0.0,0.0,0.0,0.887232312279751,0.0,0.55609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.378698224852071,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.378698224852071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6-3,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50314465408805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50314465408805,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
0.6-4,0.96875,0.9375,0.0,0.9375,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
