,crp,hns,fnr,fis,rcsB,arcA,fur,cra,phoB,soxS,gadE,rcsA,fliZ,gadX,leuO,lrp,ompR,bglJ,gadW,narL,oxyR,soxR,stpA,csgD,mlrA,rhaR,galR,fhlA,rhaS,srlR,xylR,mazE,uxuR,galS,exuR,mazF,cspA,flhD,flhC,dcuR
0-0,0.941176470588235,0.347826086956522,0.0,0.421052631578947,0.0,0.5,0.130434782608696,0.875,0.75,0.0,0.0,0.0,0.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.421052631578947,0.0,0.0
0-1,0.984375,0.5,0.5,0.75,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
0-2,0.96875,0.0,0.0136054421768707,0.0,0.5,0.249002394253791,0.18359375,0.0,0.666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444444444444444,0.0,0.0,0.0,0.0,0.1,0.0,0.380952380952381,0.0,0.275862068965517,0.0,0.0,0.0,0.0,0.0
0-3,0.96875,0.0,0.512820512820513,0.0,0.0,0.130434782608696,0.96969696969697,0.863636363636364,0.0,0.0,0.0,0.0,0.218487394957983,0.0,0.0,0.106382978723404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2578125,0.428571428571429,0.0
0-4,0.5,0.294117647058824,0.496350364963504,0.0,0.0,0.591304347826087,0.0,0.75,0.984375,0.0,0.0,0.0,0.0,0.911764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.470588235294118,0.0,0.0,0.0,0.0,0.0,0.90625,0.0,0.0,0.0
0-5,0.75,0.75,0.0,0.75,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0-6,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.994791666666667,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.484848484848485,0.0,0.5,0.0,0.0,0.0,0.0,0.0
0-7,0.3125,0.875,0.210526315789474,0.0,0.0,0.266666666666667,0.28125,0.0,0.5,0.0,0.0,0.0,0.0,0.875,1.0,0.0,0.0,0.533333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0-8,0.833333333333333,0.833333333333333,0.0,0.833333333333333,0.0,0.0,0.0,0.5,0.75,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0-9,0.875,0.666666666666667,0.0,0.0,0.0,0.0,0.0,0.875,0.996527777777778,0.0,0.0,0.0,0.0,0.666666666666667,0.5,0.0,0.0,0.0,0.0,0.0263157894736842,0.0,0.0,0.0,0.0,0.333333333333333,0.0,0.5,0.0,0.461538461538462,0.0,0.0,0.0,0.0,0.461538461538462,0.0,0.0,0.0,0.0,0.0,0.5
0.2-0,0.989583333333333,0.985611510791367,0.0,0.0,0.0,0.0,0.861111111111111,0.5,0.75,0.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.4,0.0,0.4,0.0,0.120070113935145,0.0,0.0,0.0
0.2-1,0.9375,0.75,0.493150684931507,0.75,0.0,0.315789473684211,0.45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.434782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.434782608695652,0.0,0.0,0.0,0.0,0.0,0.0
0.2-2,0.0,0.0,0.548571428571429,0.0,0.0,0.173260132407557,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.449210372392279,0.0,0.0,0.0,0.0,0.0,0.474562306900103,0.449210372392279,0.474562306900103,0.0,0.0,0.0,0.0,0.0
0.2-3,0.958333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
