,crp,hns,fnr,fis,rcsB,arcA,fur,cra,phoB,soxS,gadE,rcsA,fliZ,gadX,leuO,lrp,marA,ompR,evgA,bglJ,ydeO,gadW,rob,narL,oxyR,soxR,hdfR,stpA,csgD,mlrA,marR,ptsG,rhaR,galR,fhlA,mlc,rhaS,srlR,xylR,mazE,uxuR,galS,gutM,exuR,mazF,adiY,cspA,flhC
0-0,0.0,0.735294117647059,0.280373831775701,0.75,0.0,0.25974025974026,0.0,0.0,0.9375,0.0,0.336842105263158,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96969696969697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0-1,0.994791666666667,0.0,0.0,0.0403494176372712,0.0,0.0,0.939267886855241,0.983221476510067,0.0,0.939267886855241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479201331114809,0.0207986688851913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.994702399501402,0.484237074401009,0.0,1.0,0.0,0.0,0.0,0.0128191432539259,0.994702399501402,0.0,0.827586206896552,0.0,0.0,0.0,0.0
0-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0-3,0.0,0.480062548866302,0.0,0.7625,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.520325203252033,0.0,0.0,0.520325203252033,0.0,0.0,0.0333333333333333,0.0
0-4,0.947811447811448,0.65979381443299,0.994809688581315,0.654008438818565,0.0,0.533047210300429,0.8,0.986111111111111,0.666666666666667,0.230769230769231,0.0,0.0,0.303538175046555,0.0,0.888888888888889,0.0,0.0,0.486075949367089,0.0,0.888888888888889,0.0,0.0,0.0,0.0,0.550210970464135,0.666666666666667,0.0,0.64,0.0,0.0365296803652968,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.456896551724138
0-5,0.0,0.0,0.0,0.0,0.333333333333333,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666666666667,0.0,0.666666666666667,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0-6,0.0,0.00413223140495868,0.0,0.44921875,0.0,0.0,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556521739130435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556521739130435,0.0,0.0,0.0,0.0,0.047244094488189,0.0
0-7,0.0,0.0,0.500967117988395,1.0,0.0,0.495126705653021,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996086105675147,0.0
0-8,0.0,0.916666666666667,0.390062821245003,0.916666666666667,0.0,0.129552352048558,0.254513888888889,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.761904761904762,0.0,0.0,0.0,0.0,0.916666666666667,0.0
0-9,0.75,0.0,0.5,0.473684210526316,0.0,0.0,0.0,0.5,0.818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.230769230769231,0.0,0.0,0.0,0.0,0.0,0.0
