,crp,hns,fnr,fis,rcsB,arcA,fur,cra,phoB,soxS,gadE,fliZ,gadX,leuO,lrp,ompR,evgA,bglJ,ydeO,gadW,oxyR,stpA,csgD,mlrA,rhaR,galR,fhlA,rhaS,srlR,xylR,mazE,uxuR,galS,exuR,mazF,cspA,flhD,flhC,dcuR
0-0,0.428571428571429,0.0,0.0416666666666667,0.8,0.0,0.0,0.0,1.0,0.9375,0.0,0.0,0.0,0.347826086956522,0.0,0.0,0.0,0.333333333333333,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0-1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0-2,0.9375,0.875,0.472361809045226,0.4,0.0,0.0,0.0,0.666666666666667,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666666667,0.0,0.0,0.0,0.421052631578947,0.0,0.727272727272727,0.0,0.0,0.0,0.0,0.0
0-3,0.916666666666667,0.648936170212766,0.981818181818182,0.787234042553192,0.0,0.76056338028169,0.714285714285714,0.0,0.931818181818182,0.869565217391304,0.0,0.63768115942029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225225225225225,0.0
0-4,0.96875,0.0252100840336134,0.651851851851852,0.996323529411765,0.0,0.560509554140127,0.746323529411765,0.96875,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0-5,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0-6,0.994791666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.994791666666667,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.489795918367347,1.0,0.0,0.0,0.0,1.0,0.0,0.941176470588235,0.0,0.0,0.0,0.0,0.0
0-7,0.0,0.0,0.230769230769231,0.0,0.5,0.176470588235294,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.470588235294118,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0-8,0.0,0.0,0.0,0.0,0.333333333333333,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0-9,0.993055555555556,0.0,0.350877192982456,0.0,0.333333333333333,0.0263157894736842,0.0,0.996527777777778,0.9375,0.0,0.0,0.333333333333333,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.857142857142857,0.473684210526316,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2-0,0.0,0.425468904244817,0.861111111111111,0.828993055555556,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666666666667,0.0,0.666666666666667,0.0,0.0909090909090909,0.0,0.0,0.5
0.2-1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.588235294117647,0.0,0.0,0.0,0.0,0.0,0.0
0.2-2,0.999869791666667,0.75,0.0,0.75,0.0,0.0,0.550020584602717,0.5,0.5,0.503956079444534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.903175225401803,0.0,0.0,0.0,0.0,0.0,0.815575221238938,0.903175225401803,0.815575221238938,0.0,0.0,0.0,0.0,0.0
0.2-3,0.0,0.875,0.916666666666667,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2-4,0.984375,0.5,0.162857142857143,0.0,0.0,0.308957952468007,0.02734375,0.9921875,0.96875,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.592592592592593,0.0,0.5,0.0,0.470588235294118,0.0,0.0,0.842105263157895,0.0,0.0,0.0,0.0,0.0,0.0
0.2-5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2-6,0.0,0.75,0.660714285714286,0.75,0.0,0.555555555555556,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
