,fnr,flhC,srlR,lldR,soxR,mlrA,cspA,yeiL,tdcA,rcsB,zraR,nikR,ydeO,flhD,uxuR,fis,mazF,araC,rhaS,putA,fucR,rhaR,dcuR,nac,yiaJ,galS,puuR,nhaR,galR,crp,leuO,rcsA,purR,hns,gadW,hyfR,malI,exuR,bglJ,aidB,arcA,cadC,gutM,ompR,stpA,hdfR,lrp,oxyR,yqjI,adiY,metJ,soxS,narL,fhlA,idnR,evgA,melR,mazE,dpiA,gadE,xylR,rob,metR,ptsG,fliZ,mlc,fur,yjjQ,betI,asnC,gadX,marA
0-0,0.416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666666667,0.333333333333333,0.0,0.0416666666666667,0.0,0.0,0.0416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666666667,0.0,0.0416666666666667,0.333333333333333,0.0,0.0,0.0,0.0416666666666667,0.0,0.0416666666666667,0.208333333333333,0.0833333333333333,0.0416666666666667,0.0416666666666667,0.0,0.0,0.0,0.0,0.0,0.0416666666666667,0.0416666666666667,0.0416666666666667,0.333333333333333,0.0416666666666667,0.0,0.0416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333333,0.0,0.0416666666666667,0.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0416666666666667,0.0,0.0,0.0,0.0,0.0,0.0
0-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.534285714285714,0.422857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.517142857142857,0.165714285714286,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109785202863962,0.0,0.312649164677804,0.0,0.362768496420048,0.0,0.0,0.0572792362768496,0.281622911694511,0.0,0.398568019093079,0.0692124105011933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.379474940334129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.417661097852029,0.0,0.100238663484487,0.0,0.0,0.210023866348449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0-3,0.0,0.0303030303030303,0.0,0.0,0.0,0.0303030303030303,0.0,0.171717171717172,0.212121212121212,0.0,0.242424242424242,0.363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.242424242424242,0.0,0.0,0.0505050505050505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0707070707070707,0.0,0.0,0.0,0.0,0.0,0.474747474747475,0.474747474747475,0.0,0.0,0.0,0.0,0.0,0.0,0.474747474747475,0.0,0.0,0.474747474747475,0.474747474747475,0.0,0.242424242424242,0.0,0.282828282828283,0.0,0.242424242424242,0.0,0.0,0.171717171717172,0.282828282828283,0.0,0.0,0.0,0.0,0.0,0.161616161616162,0.0,0.0,0.0
0-4,0.141975308641975,0.0,0.0,0.0,0.296296296296296,0.179012345679012,0.259259259259259,0.0,0.0,0.259259259259259,0.481481481481481,0.296296296296296,0.0,0.0,0.0,0.0,0.0,0.259259259259259,0.376543209876543,0.0,0.487654320987654,0.0,0.117283950617284,0.296296296296296,0.0,0.0,0.141975308641975,0.0,0.0,0.0,0.0,0.172839506172839,0.0,0.179012345679012,0.0,0.450617283950617,0.0,0.0,0.0,0.345679012345679,0.296296296296296,0.166666666666667,0.0,0.0,0.259259259259259,0.259259259259259,0.172839506172839,0.0,0.296296296296296,0.259259259259259,0.0,0.296296296296296,0.296296296296296,0.0,0.0493827160493827,0.0,0.487654320987654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.259259259259259,0.0,0.0,0.259259259259259,0.0,0.141975308641975,0.0,0.0
0.2-0,0.0,0.0,0.0,0.0,0.0,0.0,0.178694158075601,0.0,0.0,0.178694158075601,0.0,0.0,0.0,0.0,0.529209621993127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178694158075601,0.0,0.0,0.0,0.0,0.18213058419244,0.0,0.474226804123711,0.0,0.0,0.0,0.0,0.0,0.0,0.178694158075601,0.178694158075601,0.0,0.0,0.0,0.178694158075601,0.0,0.0,0.0,0.0,0.481099656357388,0.0,0.532646048109966,0.0,0.0309278350515464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2-1,0.594594594594595,0.0,0.0,0.594594594594595,0.216216216216216,0.0,0.0,0.121621621621622,0.0,0.0,0.0,0.216216216216216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0945945945945946,0.0,0.0,0.121621621621622,0.0,0.0,0.513513513513513,0.0,0.0,0.459459459459459,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.216216216216216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.162162162162162,0.216216216216216,0.0,0.0,0.486486486486487,0.0,0.0,0.351351351351351,0.445945945945946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0810810810810811,0.0,0.0,0.162162162162162
0.2-2,0.363877822045153,0.325365205843293,0.0,0.146082337317397,0.0,0.0385126162018592,0.0,0.0,0.0,0.0,0.563081009296149,0.199203187250996,0.0,0.0,0.438247011952191,0.0,0.0,0.0,0.389110225763612,0.0,0.602921646746348,0.0,0.0743691899070385,0.0358565737051793,0.0,0.397078353253652,0.0,0.200531208499336,0.576361221779549,0.0,0.0,0.0,0.329349269588313,0.0,0.0,0.0,0.0,0.537848605577689,0.0,0.0,0.0358565737051793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0358565737051793,0.0,0.329349269588313,0.0358565737051793,0.0358565737051793,0.0889774236387782,0.0,0.191235059760956,0.576361221779549,0.0,0.0358565737051793,0.0,0.0,0.146082337317397,0.268260292164675,0.0,0.0358565737051793,0.0,0.0,0.0,0.0385126162018592,0.0,0.0,0.0
0.2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.386301369863014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.398630136986301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121917808219178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.402739726027397,0.0,0.378082191780822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2-4,0.0,0.0,0.0,0.259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.432098765432099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0534979423868313,0.283950617283951,0.259259259259259,0.0,0.0,0.460905349794239,0.0,0.0,0.444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156378600823045,0.0,0.0534979423868313,0.0493827160493827,0.0,0.42798353909465,0.0,0.0,0.0534979423868313,0.0,0.102880658436214,0.0,0.259259259259259,0.0,0.0,0.0,0.0,0.259259259259259,0.0,0.0,0.0
