,crp,hns,fnr,fis,rcsB,arcA,fur,cra,phoB,soxS,gadE,rcsA,fliZ,gadX,leuO,lrp,marA,ompR,evgA,bglJ,ydeO,gadW,oxyR,soxR,hdfR,stpA,yjjQ,mlrA,marR,ptsG,rhaR,galR,fhlA,mlc,rhaS,srlR,xylR,mazE,uxuR,galS,gutM,exuR,mazF,adiY,cspA,flhD,flhC,dcuR
0-0,1,0,0.213235294117647,0,1,0.433823529411765,1,0.941176470588235,0.0588235294117647,0,0.301470588235294,1,0,1,1,0,0,1,1,1,1,0.757352941176471,1,0,1,0,1,1,1,0,0.5,0,1,1,0.5,0,1,0,0,1,1,1,0,1,1,0,0,0.426470588235294
0-1,0.0415973377703827,1,1,0,0,1,0,0.00831946755407654,0.991680532445923,0,0,0,1,1,1,0,0,0.0415973377703827,0,0,0,0,0,0,0,0,0,0,1,1,0.520798668885191,0.666285357737105,0.34026622296173,0,0.520798668885191,0,0.520798668885191,1,0.026518302828619,0.666285357737105,1,0.984920965058236,0,0,0,1,1,1
0-2,1,0,0.525,0,1,0.05,0.5625,0.2,0.8,0.9625,1,1,0,0,1,1,0,1,1,1,1,1,0,0.95,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1
0-3,1,0.00078125,1,0,0.9765625,1,0,0.2,0.8,0,1,1,1,0.97734375,1,1,0.5,1,1,1,1,1,1,0,0.9765625,0,1,0,0.5,0,0.5,0,0.5,0,0.5,0,1,1,0.51953125,1,0,0.51953125,0,0.9765625,0.9765625,0,1,1
0-4,0.01,0.03,0.518333333333333,0.0125,0.9725,0.0291666666666667,0.4875,0.04,0.96,0.978333333333333,1,1,0.5525,1,0.64,0,0.980833333333333,0.0125,1,0.64,1,1,0.0125,0.9975,0.9725,0,0.64,0.4525,0,0.484166666666667,0,0,0,0.523333333333333,0.52,1,1,0,0,0.0125,1,0.9875,1,0.9725,0.993333333333333,0.990833333333333,0.806666666666667,0.0216666666666667
0-5,1,1,0.846875,1,0,0.268229166666667,0,0.2,0.8,1,0,0,1,0,0.666666666666667,0,1,1,0,0.666666666666667,0.666666666666667,0.990104166666667,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0.5,0,1,0,0,1,1,0.153125
0-6,1,0.0546875,1,0,0.0078125,1,0,0.5,0.5,0,0,0.00390625,1,0,1,0.0078125,0,1,0,1,0,0.03125,0,1,0.0078125,0,1,0,0.5,0,0.5,0.55078125,0.5,0,1,0.9921875,1,0,0,0.55078125,0,0,1,0.0078125,0.0078125,0.9453125,0.9453125,1
0-7,1,0.99609375,0.4951171875,0,0.001953125,0.4990234375,0,0.5,0.5,0,1,1,0.998046875,1,1,0,1,1,0,0.001953125,0,0,1,0,0.001953125,0,0.001953125,0.994140625,0,1,0.5,0,0,0,1,0.998046875,1,0,1,1,1,0,1,0.001953125,0.001953125,0.00390625,0.00390625,1
0-8,1,0,0.848003472222222,0,1,0.542361111111111,0,0.8,0.2,0,0.666666666666667,0.333333333333333,0,1,1,0,1,1,0.666666666666667,1,0.666666666666667,0.666666666666667,1,0,1,1,1,1,0,1,0.333333333333333,0.671875,1,0,0.666666666666667,0,1,0,1,0.671875,0,0,1,1,0,0,0.666666666666667,1
0-9,0.473684210526316,0.151315789473684,0,0,0.0328947368421053,0,0,0.578947368421053,0.421052631578947,1,1,1,0.848684210526316,0.0328947368421053,0.0328947368421053,1,0,0.473684210526316,1,0.0328947368421053,1,0,0,1,0.0328947368421053,1,0.0328947368421053,1,0.421052631578947,1,0.578947368421053,0.842105263157895,0.5,0,0.157894736842105,0.986842105263158,0,0,0,0.315789473684211,0,0.526315789473684,0.473684210526316,0.0328947368421053,0.0328947368421053,1,0.967105263157895,0
0.2-0,1,0.0583333333333333,0.875,0,0.958333333333333,0.525,1,0.8,0.2,0,0.0833333333333333,1,0,0.191666666666667,1,1,1,1,0,1,0,0,1,0,0.958333333333333,0,1,1,0,1,0.333333333333333,0,1,0,0.666666666666667,1,0,0,1,1,1,0,1,0.958333333333333,0.958333333333333,0.808333333333333,0,0.125
0.2-1,0,0,0.35040283203125,0,1,0.483154296875,0.35040283203125,0.5,0.5,0.516845703125,1,1,0.70867919921875,1,0,1,1,0,0.5,0,1,1,0,0.516845703125,1,1,1,0.3240966796875,1,0.667236328125,0.5,0,1,0.667236328125,0.5,0.27740478515625,0,1,0,0,0.6671142578125,1,0,1,1,0.516845703125,0,0.2947998046875
0.2-2,0,0,0.0338541666666667,0,1,0.255208333333333,0.287760416666667,0.666666666666667,0.333333333333333,0.74609375,1,1,0,1,1,0,0.345052083333333,0,1,1,1,1,0,0.0325520833333333,1,0,1,1,0.157552083333333,0.0338541666666667,0.5,0.596354166666667,1,1,0.5,0,1,0,0,0.596354166666667,0,0,1,1,0,0,0,0.967447916666667
0.2-3,0.8,0,0,0,1,0,1,0.4,0.6,1,1,1,0,1,1,1,0,0.8,0.5,1,1,1,0,0,1,1,1,1,1,0.8,0.8,0.132552083333333,0.366666666666667,0.2,0.4,0,0.9,0,0,0.932552083333333,1,1,0,1,1,1,1,0.8
0.2-4,1,0.98,0,0,0.02,0,1,0.8,0.2,1,0.04,0.52,0.64,0.962,1,0.04,1,1,0.52,1,0,0.04,1,1,0.02,0,0.02,0.36,0,1,0.5,0,0.5,0,0.5,0,1,0,1,1,1,0,0,0.02,0.02,0.998,1,1
0.2-5,1,1,0.0234375,1,0,0.3046875,0.0234375,0.5,0.5,0.6953125,1,0.5,1,1,1,0,1,1,0.5,0,0.75,0.38671875,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0.5,0,1,0,1,1,1,1
0.2-6,0,0.866871843434343,0,0,0.151278409090909,0,1,0.848484848484849,0.151515151515152,1,0.696969696969697,0.393939393939394,0,0.987965593434343,1,0,1,0,0.696969696969697,0.151278409090909,0.0183080808080808,0.212121212121212,0,0,0.151278409090909,0.151278409090909,1,1,1,1,0.5,0,0,0,0,0.848721590909091,0.333333333333333,1,0,1,1,1,0,0.151278409090909,0.151278409090909,0,0.606060606060606,0
