,crp,hns,fnr,fis,rcsB,arcA,fur,cra,phoB,soxS,gadE,rcsA,fliZ,gadX,leuO,lrp,ompR,bglJ,gadW,narL,oxyR,soxR,stpA,csgD,mlrA,rhaR,galR,fhlA,rhaS,srlR,xylR,mazE,uxuR,galS,exuR,mazF,cspA,flhD,flhC,dcuR
0-0,0.708333333333333,0.958333333333333,0,0.791666666666667,0,0.25,0.958333333333333,0.666666666666667,0.333333333333333,0.75,0.666666666666667,0.125,1,0.0416666666666667,1,0.666666666666667,0.791666666666667,1,1,0.75,0.791666666666667,0,0,0.666666666666667,0,1,1,1,1,0.791666666666667,0.833333333333333,0.791666666666667,0.958333333333333,0,0.208333333333333,1,0,0.791666666666667,0.0416666666666667,0.916666666666667
0-1,1,1,1,1,0,1,0,0.5,0.5,0,1,0,0.5,0.5,0,0,1,0,1,0,1,0,0,0.5,0.5,0.5,0,0.5,1,1,0.5,1,1,1,0,1,1,1,1,1
0-2,0.8,0,0.6890625,0,1,0.97890625,0.8,0.4,0.6,0,0.5109375,1,0,1,0.5,0,0.8,0.5,1,0.02109375,0.8,0.02109375,1,0.4,1,0.9,0.2,1,0.4,0.8,1,1,0.525,0.8,0.725,0,1,1,0.8,0.7796875
0-3,0.680851063829787,0,0.414893617021277,0,1,0.24468085106383,0.702127659574468,0.936170212765957,0.0638297872340425,0.75531914893617,0.319148936170213,1,0.632978723404255,0.319148936170213,1,1,0.680851063829787,1,0.0159574468085106,0.75531914893617,0.680851063829787,0,1,0.680851063829787,0.409574468085106,0.680851063829787,0,1,0.680851063829787,0.680851063829787,1,1,1,1,0,0.680851063829787,0,0.680851063829787,0.409574468085106,0.904255319148936
0-4,0.0588235294117647,0.125,0.503676470588235,0,0.941176470588235,0.422794117647059,0,0.0588235294117647,0.941176470588235,0.577205882352941,1,0.977941176470588,0.0588235294117647,1,1,0.977941176470588,0.0588235294117647,1,0.941176470588235,0.577205882352941,0.0588235294117647,0.577205882352941,0.941176470588235,0.0588235294117647,0.125,0.0588235294117647,0,1,0.529411764705882,1,1,0.0588235294117647,1,1,0,1,0.941176470588235,1,1,0.753676470588235
0-5,1,1,0,1,0,0,1,0.5,0.5,1,0,0,1,1,0,0,1,0,0.5,1,1,0,0,1,0,1,0,0.5,1,1,1,1,1,1,0,1,1,0,1,1
0-6,0.0204081632653061,1,0,0.0204081632653061,0,0,0.0204081632653061,0.0204081632653061,0.979591836734694,1,0,0,0,0.979591836734694,0,0,0.0204081632653061,0,0.979591836734694,1,0.0204081632653061,0.979591836734694,0,0,1,0.510204081632653,0,0,0.510204081632653,1,1,0.0204081632653061,0.673469387755102,1,0.653061224489796,0.0204081632653061,0,1,0,0.0204081632653061
0-7,1,1,0.59375,0,0,0.46875,1,0.5,0.5,0.53125,0,0,1,1,0.53125,0,1,0.46875,0.5,0.53125,0,0,0,0.5,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0.25
0-8,1,1,0.166666666666667,1,0,0.708333333333333,0,0.333333333333333,0.666666666666667,0.166666666666667,0.333333333333333,0.5,1,0.666666666666667,0.666666666666667,0.333333333333333,1,0,0,0.291666666666667,1,0.291666666666667,0.333333333333333,0.333333333333333,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1
0-9,0.0526315789473684,1,0,0,0,0,0.0526315789473684,0.0526315789473684,0.947368421052632,1,0,0,0,1,0.666666666666667,0,0.0526315789473684,0.666666666666667,0.947368421052632,1,0.0526315789473684,1,0,1,1,0.368421052631579,0.631578947368421,0,0.684210526315789,0.0526315789473684,1,1,0,0.684210526315789,0.947368421052632,0,0,0.964912280701754,0.0526315789473684,0.0526315789473684
0.2-0,1,0.120659722222222,0,0,0.990451388888889,0,1,0.333333333333333,0.666666666666667,1,0,1,1,1,0.118923611111111,0.9921875,1,0,1,1,1,0,0.118923611111111,0.333333333333333,0,1,0,0.666666666666667,1,1,1,0,0.625,1,0.625,1,0.990451388888889,0,1,0
0.2-1,1,1,0.9125,1,0,0.2375,1,0.8,0.2,0.925,0.0875,0.5,0,0,1,0,1,0,0.0125,0.7625,0,0.7625,0,0.8,1,1,0.575,1,1,1,1,1,1,0.575,0,1,1,0,0.5,0.25
0.2-2,0,0,0.911458333333333,0,1,0.806380208333333,0.051171875,0.5,0.5,0.193619791666667,1,1,0.868359375,1,1,1,0,1,1,0.193619791666667,0,0,1,0.5,0.0131510416666667,0,0.667838541666667,0.333333333333333,0.5,0,1,0,0.632161458333333,0.667838541666667,0.632161458333333,0,1,0,0.911458333333333,0.755208333333333
0.2-3,1,0,0,0,1,0,1,0.5,0.5,1,1,1,0,0.5,1,0,1,1,1,1,1,1,0,1,1,0.5,0,0.333333333333333,0.5,1,1,0,1,1,0,0,0,0,0,1
0.2-4,0.111111111111111,0,0.392361111111111,0.111111111111111,1,0.0503472222222222,0.111111111111111,0.111111111111111,0.888888888888889,0.998263888888889,0.944444444444444,1,0,0.888888888888889,1,1,0.111111111111111,1,0.888888888888889,0.949652777777778,0.111111111111111,0.949652777777778,0,1,1,0.555555555555556,0.625,0.944444444444444,0.111111111111111,0.111111111111111,0.0555555555555556,0.111111111111111,0,0.736111111111111,0.888888888888889,0.111111111111111,1,1,0,0.496527777777778
0.2-5,1,1,0,1,0,0,1,0.2,0.8,0,0,0,1,0,0.5,0,1,0.5,0,1,1,0,0,0.2,0,0.333333333333333,0,0,0.666666666666667,1,1,1,1,1,0,1,0,1,1,0
0.2-6,1,0,0.65,0,1,0.94375,1,0.8,0.2,0.05625,0.35,1,0,0.075,1,1,1,1,1,0.05625,1,0,1,1,1,0.5,0.75,0,1,1,1,0,1,0.75,0,1,1,1,0,1
0.2-7,0.761904761904762,0,0.0416666666666667,0.761904761904762,1,0,0.976190476190476,0.761904761904762,0.238095238095238,0.99702380952381,0,1,0.785714285714286,1,1,1,0.761904761904762,1,0.238095238095238,1,0,1,1,1,0.232142857142857,0.380952380952381,0,0.523809523809524,0.5,0.761904761904762,1,0,0.761904761904762,0.761904761904762,0.238095238095238,0.761904761904762,1,0,0.806547619047619,0.761904761904762
0.2-8,0.680851063829787,1,0,0.680851063829787,0,0,0.683510638297872,0.680851063829787,0.319148936170213,0.248670212765957,0.25531914893617,0,0.191489361702128,0.319148936170213,0,0,0.680851063829787,0,0.127659574468085,1,0,0,0,0.808510638297872,0.808510638297872,0.893617021276596,0,0,0.787234042553192,0.680851063829787,0,0.680851063829787,1,1,0,0,0,0,1,0
0.2-9,0.2,1,0,0.2,0,0,0.208333333333333,0.2,0.8,0.797916666666667,0,0,0.8,0.8,0.5,0,0.2,0.5,0.8,1,0,0.797916666666667,0,0.2,0.2,0.466666666666667,0,0.533333333333333,0.733333333333333,0.2,0,0.2,0.2,1,0.8,1,0.2,0.8,1,0.2
0.4-0,1,1,0.97375,1,0,0.87375,1,0.2,0.8,0.12625,0,0,1,0.8,0.59125,0,1,0.60875,1,0.12625,1,0,0,1,0,1,0,0,1,1,1,1,0.60875,1,0.60875,1,1,1,1,1
0.4-1,0.727272727272727,0.727272727272727,0,0.727272727272727,0.272727272727273,0,1,0.727272727272727,0.272727272727273,1,0.272727272727273,0.272727272727273,0.727272727272727,0.272727272727273,0.636363636363636,0.272727272727273,0.727272727272727,0.636363636363636,1,1,0.727272727272727,0,0.272727272727273,1,0.272727272727273,0.818181818181818,0.180871212121212,0.5,0.909090909090909,0.727272727272727,0.484848484848485,0.727272727272727,0.727272727272727,0.908143939393939,0.272727272727273,0.727272727272727,1,1,1,0
0.4-2,1,0.666666666666667,0.375,1,0.333333333333333,0.25,1,0.333333333333333,0.666666666666667,0,0.833333333333333,0.666666666666667,0.666666666666667,0.666666666666667,1,0.333333333333333,1,0.333333333333333,0.833333333333333,0.75,1,0.75,0.333333333333333,1,0.333333333333333,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
0.4-3,0.4,1,0.41875,0,0,0.40625,0.8,0.4,0.6,0.01875,0.6,0.8,1,1,0,0.6,0.4,0,0.9,0.59375,0.4,0.59375,0.6,0.4,0,0.8,1,0,0.6,1,0.4,0,0.4,0,0.6,1,0,1,1,0.98125
0.4-4,1,1,0,1,0,0,1,0.8,0.2,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0.5,1,1,1,1,1,1,0,1,1,1,1,1
0.4-5,1,1,0.55,1,0,0.55,1,0.8,0.2,0.825,0.45,0,1,0.2,0,0,1,0,0.55,0.45,1,0.45,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0.825
0.4-6,1,1,0.05,1,0,0.925,1,0.8,0.2,0.075,0.95,1,0,0.95,0,0.075,1,0,0.85,0.075,1,0.075,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
0.4-7,0,1,1,0,0,1,0,0.8,0.2,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0.8,0,0.5,1,0.333333333333333,0.5,1,1,1,0,0,1,0,0,1,1,1
0.4-8,0.75,1,0,0.609375,0,0,0.609375,0.5,0.5,1,0.375,0.75,1,0.453125,1,0.0625,0.609375,1,0.5,1,0,0.25,0,1,0,1,0,0.5,0.609375,0.609375,0.359375,0.609375,0.609375,1,0,1,0.75,1,0.609375,0.609375
0.4-9,1,1,0,1,0,0,0,0.5,0.5,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0.5,0,0.333333333333333,1,1,1,1,1,0,0,1,0,1,1,1
0.6-0,1,1,0.18359375,1,0,0.01953125,0.1953125,0.5,0.5,0.98828125,1,1,1,1,0.5,1,1,0.5,1,0.98046875,1,0.98046875,1,1,0,1,0,1,1,1,1,1,0.53125,1,0.53125,1,1,1,1,1
0.6-1,0.04,0.04,0.9725,0.04,0.96,0.485,0.04,0.04,0.96,0.475,1,0.48,1,1,0.96,1,0.04,0.96,0.96,0.515,0.04,0.515,0.96,0.04,0,0.52,0,1,0.52,0.04,0.04,0.67875,0.04,1,0.96,0.67875,0,1,0.04,1
0.6-2,1,1,0,1,0,0,1,0.8,0.2,1,1,0.5,1,1,1,0,1,1,1,1,1,1,0,0.8,0,1,0,0,1,1,0.5,1,1,1,0,1,1,1,1,1
0.6-3,1,1,0.35,1,0,0.5,1,0.8,0.2,0.85,1,1,1,0.2,0,1,1,0,0.2,0.5,1,0.5,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
0.6-4,0,0.2421875,0.716015625,0,0.528515625,0.487109375,0,0.8,0.2,1,1,1,0.6697265625,0.2,0.528515625,0.7076171875,0,0.7076171875,0.897265625,0.512890625,0,1,0.0630859375,0.8,0.2416015625,0.5,0.5830078125,1,0.5,0.7578125,0,0,0,0.5830078125,1,1,0.528515625,0,0,0.6515625
0.6-5,1,1,0,1,0,0,1,0.8,0.2,1,1,0.5,1,0.2,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1
0.6-6,1,1,0.525,0,0,0.475,1,0.2,0.8,0.975,1,1,1,1,0.5,1,1,0,1,0.525,1,0.525,1,1,0,1,0,1,0.5,1,1,1,1,1,0,1,0,1,1,1
0.6-7,1,0.8,0,0,0.1625,0,1,0.2,0.8,1,1,0.1625,1,0.8,1,0.1625,1,1,1,1,0,0,0.1625,1,0,0.5,0,0,1,1,1,1,1,1,0,1,0.1625,1,1,1
0.6-8,0.43859649122807,1,0.358004385964912,0,0,0.240131578947368,0.43859649122807,0.350877192982456,0.649122807017544,1,0.649122807017544,0.824561403508772,1,1,1,0.649122807017544,0.43859649122807,1,0.859649122807018,0.759868421052632,0.43859649122807,0.759868421052632,0,0.719298245614035,0,0.719298245614035,0.345394736842105,0,0.719298245614035,0.43859649122807,1,1,0.821271929824561,0.783991228070175,0.382675438596491,0,0,1,1,0.203399122807018
0.6-9,1,1,0.230208333333333,1,0,0.00260416666666667,0.9828125,0.8,0.2,0.997395833333333,0,0.5,1,0,0.625,0,1,0.625,1,0.997395833333333,0,0.997395833333333,0,1,0,1,0,0.625,1,1,1,1,0.666666666666667,1,0.666666666666667,1,0,1,1,1
0.8-0,0.2,0.2,0.3875,0.2,0.8,0.375,0.5875,0.2,0.8,0.9875,1,1,0.2,0.8,0.8,1,0.2,0.8,1,0.625,0.2,0.625,1,1,0.8,0.6,1,1,0.6,1,1,1,0.2,0,0.8,0.2,1,1,0,0.975
0.8-1,1,1,0.5,1,0,0.8,1,0.8,0.2,0.7,0.5,1,1,1,1,0,1,1,1,0.2,1,0.2,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1
0.8-2,1,1,0.15,1,0,0.1375,1,0.8,0.2,0.975,1,1,1,1,1,0,1,1,1,0.8625,1,0.8625,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
0.8-3,1,1,0,1,0,0,1,0.8,0.2,1,1,0,1,1,0.666666666666667,1,1,0.666666666666667,1,1,1,1,1,1,0,1,0,0.5,1,1,1,1,0.661111111111111,1,0.661111111111111,1,1,1,1,1
0.8-4,1,1,0.65,1,0,0.35,1,0.8,0.2,0.65,0.35,1,1,1,1,0.65,1,1,1,0.65,1,0.65,0.65,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
0.8-5,1,1,0,1,0,0,1,0.8,0.2,1,0,0.5,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0.5,1,1,1,1,1,1,0,1,1,1,1,1
0.8-6,0.761363636363636,1,0.170454545454545,0.840909090909091,0,0.170454545454545,0.988636363636364,0.727272727272727,0.272727272727273,0.886363636363636,1,1,1,1,0.5,1,0.840909090909091,0.5,1,0.829545454545455,0.840909090909091,0,1,1,0,1,0,1,1,1,1,1,0.965909090909091,1,0.159090909090909,1,0.965909090909091,0.875,1,0.863636363636364
0.8-7,1,1,0.26875,1,0,0.1,1,0.8,0.2,0.9875,1,1,1,1,1,0,1,1,1,0.9,1,0.9,0,1,0,1,0,1,1,1,1,1,0.69375,1,0.69375,1,1,1,1,1
0.8-8,1,1,0.196875,1,0,0.165625,1,0.8,0.2,0.890625,1,1,1,1,0.7,1,1,0.3,1,0.834375,0,0.834375,1,1,0,1,0.565625,1,1,1,1,1,1,0.565625,0,1,1,1,1,1
0.8-9,1,1,0.65,1,0,0.5,1,0.8,0.2,0.8,1,1,1,0.2,0,1,1,0,1,0.5,1,0.5,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
