,crp,hns,fnr,fis,rcsB,arcA,fur,cra,phoB,soxS,gadE,rcsA,fliZ,gadX,leuO,lrp,marA,ompR,evgA,bglJ,ydeO,gadW,rob,narL,oxyR,soxR,hdfR,stpA,csgD,mlrA,marR,ptsG,rhaR,galR,fhlA,mlc,rhaS,srlR,xylR,mazE,uxuR,galS,gutM,exuR,mazF,adiY,cspA,flhC
0-0,0,1,0.786764705882353,1,0,0.566176470588235,0,0.0588235294117647,0.941176470588235,1,0.698529411764706,0,1,0,0,1,1,0,0,0,0,0.242647058823529,1,0.433823529411765,0,1,0,1,0.5,0,0,1,0.5,1,0,0,0.5,1,0,1,1,0,0,0,1,0,0,1
0-1,0.958402662229617,0,0,1,1,0,1,0.991680532445923,0.00831946755407653,1,1,1,0,0,0,1,1,0.958402662229617,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0.479201331114809,0.333714642262895,0.65973377703827,1,0.479201331114809,1,0.479201331114809,0,0.973481697171381,0.333714642262895,0,0.0150790349417638,1,1,1,0
0-2,0,1,0.475,1,0,0.95,0.4375,0.8,0.2,0.0375,0,0,1,1,0,0,1,0,0,0,0,0,1,0.05,1,0.05,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1
0-3,0,0.99921875,0,1,0.0234375,0,1,0.8,0.2,1,0,0,0,0.02265625,0,0,0.5,0,0,0,0,0,1,1,0,1,0.0234375,1,1,1,0.5,1,0.5,1,0.5,1,0.5,1,0,0,0.48046875,0,1,0.48046875,1,0.0234375,0.0234375,0
0-4,0.99,0.97,0.481666666666667,0.9875,0.0275,0.970833333333333,0.5125,0.96,0.04,0.0216666666666666,0,0,0.4475,0,0.36,1,0.0191666666666667,0.9875,0,0.36,0,0,0.484166666666667,0.0291666666666667,0.9875,0.00249999999999995,0.0275,1,0.5,0.5475,1,0.515833333333333,1,1,1,0.476666666666667,0.48,0,0,1,1,0.9875,0,0.0125,0,0.0275,0.00666666666666671,0.193333333333333
0-5,0,0,0.153125,0,1,0.731770833333333,1,0.8,0.2,0,1,1,0,1,0.333333333333333,1,0,0,1,0.333333333333333,0.333333333333333,0.00989583333333333,1,0.268229166666667,1,1,1,1,0.5,1,0,1,0,1,1,1,0,1,0,1,0,0,0.5,1,0,1,1,0
0-6,0,0.9453125,0,1,0.9921875,0,1,0.5,0.5,1,1,0.99609375,0,1,0,0.9921875,1,0,1,0,1,0.96875,0,1,1,0,0.9921875,1,1,1,0.5,1,0.5,0.44921875,0.5,1,0,0.0078125,0,1,1,0.44921875,1,1,0,0.9921875,0.9921875,0.0546875
0-7,0,0.00390625,0.5048828125,1,0.998046875,0.5009765625,1,0.5,0.5,1,0,0,0.001953125,0,0,1,0,0,1,0.998046875,1,1,0,0.4990234375,0,1,0.998046875,1,0,0.005859375,1,0,0.5,1,1,1,0,0.001953125,0,1,0,0,0,1,0,0.998046875,0.998046875,0.99609375
0-8,0,1,0.151996527777778,1,0,0.457638888888889,1,0.2,0.8,1,0.333333333333333,0.666666666666667,1,0,0,1,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,1,0.542361111111111,0,1,0,0,0,0,1,0,0.666666666666667,0.328125,0,1,0.333333333333333,1,0,1,0,0.328125,1,1,0,0,1,0.333333333333333
0-9,0.526315789473684,0.848684210526316,1,1,0.967105263157895,1,1,0.421052631578947,0.578947368421053,0,0,0,0.151315789473684,0.967105263157895,0.967105263157895,0,1,0.526315789473684,0,0.967105263157895,0,1,1,0,1,0,0.967105263157895,0,1,0,0.578947368421053,0,0.421052631578947,0.157894736842105,0.5,1,0.842105263157895,0.0131578947368421,1,1,1,0.684210526315789,1,0.473684210526316,0.526315789473684,0.967105263157895,0.967105263157895,0.0328947368421053
