,crp,hns,fnr,fis,rcsB,arcA,fur,cra,phoB,soxS,gadE,fliZ,gadX,leuO,lrp,ompR,evgA,bglJ,ydeO,gadW,oxyR,stpA,csgD,mlrA,rhaR,galR,fhlA,rhaS,srlR,xylR,mazE,uxuR,galS,exuR,mazF,cspA,flhD,flhC,dcuR
0-0,0.291666666666667,0.0416666666666666,1,0.208333333333333,1,0.75,0.0416666666666666,0.333333333333333,0.666666666666667,0.25,0.333333333333333,0,0.958333333333333,0,0.333333333333333,0.208333333333333,1,0,1,0,0.208333333333333,1,0.333333333333333,1,0,0,0,0,0.208333333333333,0.166666666666667,0.208333333333333,0.0416666666666666,1,0.791666666666667,0,1,0.208333333333333,0.958333333333333,0.0833333333333334
0-1,0,0,0,0,1,0,1,0.5,0.5,1,0,0.5,0.5,1,1,0,0.5,1,1,0,0,1,0.5,0.5,0.5,1,0.5,0,0,0.5,0,0,0,1,0,0,0,0,0
0-2,0.2,1,0.3109375,1,0,0.02109375,0.2,0.6,0.4,1,0.4890625,1,0,0.5,1,0.2,0.5,0.5,0.77890625,0,0.2,0,0.6,0,0.1,0.8,0,0.6,0.2,0,0,0.475,0.2,0.275,1,0,0,0.2,0.2203125
0-3,0.319148936170213,1,0.585106382978723,1,0,0.75531914893617,0.297872340425532,0.0638297872340425,0.936170212765957,0.24468085106383,0.680851063829787,0.367021276595745,0.680851063829787,0,0,0.319148936170213,0,0,0,0.984042553191489,0.319148936170213,0,0.319148936170213,0.590425531914894,0.319148936170213,1,0,0.319148936170213,0.319148936170213,0,0,0,0,1,0.319148936170213,1,0.319148936170213,0.590425531914894,0.0957446808510638
0-4,0.941176470588235,0.875,0.496323529411765,1,0.0588235294117647,0.577205882352941,1,0.941176470588235,0.0588235294117647,0.422794117647059,0,0.941176470588235,0,0,0.0220588235294118,0.941176470588235,0,0,0,0.0588235294117647,0.941176470588235,0.0588235294117647,0.941176470588235,0.875,0.941176470588235,1,0,0.470588235294118,0,0,0.941176470588235,0,0,1,0,0.0588235294117647,0,0,0.246323529411765
0-5,0,0,1,0,1,1,0,0.5,0.5,0,1,0,0,1,1,0,1,1,1,0.5,0,1,0,1,0,1,0.5,0,0,0,0,0,0,1,0,0,1,0,0
0-6,0.979591836734694,0,1,0.979591836734694,1,1,0.979591836734694,0.979591836734694,0.0204081632653061,0,1,1,0.0204081632653061,1,1,0.979591836734694,0.5,1,1,0.0204081632653061,0.979591836734694,1,1,0,0.489795918367347,1,1,0.489795918367347,0,0,0.979591836734694,0.326530612244898,0,0.346938775510204,0.979591836734694,1,0,1,0.979591836734694
0-7,0,0,0.40625,1,1,0.53125,0,0.5,0.5,0.46875,1,0,0,0.46875,1,0,0.5,0.53125,0.46875,0.5,1,1,0.5,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0.75
0-8,0,0,0.833333333333333,0,1,0.291666666666667,1,0.666666666666667,0.333333333333333,0.833333333333333,0.666666666666667,0,0.333333333333333,0.333333333333333,0.666666666666667,0,0.5,1,1,1,0,0.666666666666667,0.666666666666667,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
0-9,0.947368421052632,0,1,1,1,1,0.947368421052632,0.947368421052632,0.0526315789473685,0,1,1,0,0.333333333333333,1,0.947368421052632,1,0.333333333333333,1,0.0526315789473685,0.947368421052632,1,0,0,0.631578947368421,0.368421052631579,1,0.315789473684211,0.947368421052632,0,0,1,0.315789473684211,0.0526315789473685,1,1,0.0350877192982456,0.947368421052632,0.947368421052632
0.2-0,0,0.879340277777778,1,1,0.00954861111111116,1,0,0.666666666666667,0.333333333333333,0,1,0,0,0.881076388888889,0.0078125,0,1,1,0.0078125,0,0,0.881076388888889,0.666666666666667,1,0,1,0.333333333333333,0,0,0,1,0.375,0,0.375,0,0.00954861111111116,1,0,1
0.2-1,0,0,0.0875,0,1,0.7625,0,0.2,0.8,0.075,0.9125,1,1,0,1,0,0.5,1,1,0.9875,1,1,0.2,0,0,0.425,0,0,0,0,0,0,0.425,1,0,0,1,0.5,0.75
0.2-2,1,1,0.0885416666666666,1,0,0.193619791666667,0.948828125,0.5,0.5,0.806380208333333,0,0.131640625,0,0,0,1,0.5,0,0,0,1,0,0.5,0.986848958333333,1,0.332161458333333,0.666666666666667,0.5,1,0,1,0.367838541666667,0.332161458333333,0.367838541666667,1,0,1,0.0885416666666666,0.244791666666667
0.2-3,0,1,1,1,0,1,0,0.5,0.5,0,0,1,0.5,0,1,0,0.5,0,0,0,0,1,0,0,0.5,1,0.666666666666667,0.5,0,0,1,0,0,1,1,1,1,1,0
0.2-4,0.888888888888889,1,0.607638888888889,0.888888888888889,0,0.949652777777778,0.888888888888889,0.888888888888889,0.111111111111111,0.00173611111111116,0.0555555555555556,1,0.111111111111111,0,0,0.888888888888889,0,0,0,0.111111111111111,0.888888888888889,1,0,0,0.444444444444444,0.375,0.0555555555555556,0.888888888888889,0.888888888888889,0.944444444444444,0.888888888888889,1,0.263888888888889,0.111111111111111,0.888888888888889,0,0,1,0.503472222222222
0.2-5,0,0,1,0,1,1,0,0.8,0.2,1,1,0,1,0.5,1,0,0.5,0.5,1,1,0,1,0.8,1,0.666666666666667,1,1,0.333333333333333,0,0,0,0,0,1,0,1,0,0,1
0.2-6,0,1,0.35,1,0,0.05625,0,0.2,0.8,0.94375,0.65,1,0.925,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0.25,1,0,0,0,1,0,0.25,1,0,0,0,1,0
0.2-7,0.238095238095238,1,0.958333333333333,0.238095238095238,0,1,0.0238095238095238,0.238095238095238,0.761904761904762,0.00297619047619047,1,0.214285714285714,0,0,0,0.238095238095238,0.5,0,0.5,0.761904761904762,1,0,0,0.767857142857143,0.619047619047619,1,0.476190476190476,0.5,0.238095238095238,0,1,0.238095238095238,0.238095238095238,0.761904761904762,0.238095238095238,0,1,0.193452380952381,0.238095238095238
0.2-8,0.319148936170213,0,1,0.319148936170213,1,1,0.316489361702128,0.319148936170213,0.680851063829787,0.751329787234043,0.74468085106383,0.808510638297872,0.680851063829787,1,1,0.319148936170213,0.531914893617021,1,0.531914893617021,0.872340425531915,1,1,0.191489361702128,0.191489361702128,0.106382978723404,1,1,0.212765957446808,0.319148936170213,1,0.319148936170213,0,0,1,1,1,1,0,1
0.2-9,0.8,0,1,0.8,1,1,0.791666666666667,0.8,0.2,0.202083333333333,1,0.2,0.2,0.5,1,0.8,1,0.5,1,0.2,1,1,0.8,0.8,0.533333333333333,1,0.466666666666667,0.266666666666667,0.8,1,0.8,0.8,0,0.2,0,0.8,0.2,0,0.8
0.4-0,0,0,0.02625,0,1,0.12625,0,0.8,0.2,0.87375,1,0,0.2,0.40875,1,0,1,0.39125,1,0,0,1,0,1,0,1,1,0,0,0,0,0.39125,0,0.39125,0,0,0,0,0
